iyear,specificity,vicinity,suicide,attacktype1,targtype1,targsubtype1,guncertain1,individual,nperps,nperpcap,claimed,weapsubtype1,weaptype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property
1996,1,0,0,3,4,34,0,0,,,,8,6,11,,,0,,,1
1996,1,0,0,3,2,15,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,3,2,15,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,1,2,15,0,0,,,,5,5,0,,,0,,,1
1996,5,0,0,3,4,39,0,0,,,,16,6,7,,,1,,,1
1996,1,0,0,3,14,,0,0,,,,16,6,0,,,0,,,1
1996,1,0,0,3,14,74,0,0,,,,16,6,1,,,3,,,1
1996,1,0,0,3,14,78,0,0,,,,16,6,1,,,3,,,1
1996,1,0,0,1,14,68,1,0,,,,,13,1,,,0,,,0
1996,1,0,0,3,3,22,0,0,10,,,28,6,1,,,3,,,1
1996,1,0,0,3,10,55,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,1,14,67,0,0,,,,23,9,4,,,0,,,0
1996,1,0,0,6,12,61,0,0,,,,,13,1,,,0,,,0
1996,3,0,0,3,4,34,0,0,,,,16,6,4,,,0,,,1
1996,4,0,0,2,3,23,0,0,,,,5,5,5,,,5,,,1
1996,1,0,0,6,10,53,0,0,,,,,13,1,,,0,,,0
1996,1,0,0,2,3,23,0,0,,,,2,5,11,,,0,,,1
1996,1,0,0,1,2,15,0,0,,,,16,6,7,,,100,,,1
1996,1,0,0,7,2,15,0,0,,,,,13,0,,,0,,,1
1996,1,1,0,9,4,39,0,0,,,,,13,5,,,0,,,1
1996,3,0,0,3,20,,0,0,,,,16,6,2,,,0,,,1
1996,1,0,0,3,20,,0,0,,,,16,6,3,,,0,,,1
1996,1,0,0,1,1,9,0,0,,,,23,9,1,,,0,,,0
1996,1,0,0,1,19,105,0,0,,,,,8,1,,,0,,,0
1996,3,0,0,1,2,15,0,0,,,,5,5,1,,,0,,,0
1996,1,1,0,2,3,23,0,0,,,,5,5,12,,,0,,,1
1996,2,0,0,2,2,15,0,0,,,,5,5,0,,,0,,,1
1996,2,0,0,3,1,8,0,0,,,,16,6,3,,,0,,,1
1996,1,0,0,1,22,109,0,0,,,,5,5,1,,,0,,,0
1996,1,0,0,3,2,15,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,3,2,15,0,0,,,,7,6,0,,,0,,,1
1996,1,0,0,3,20,,0,0,2,,,16,6,1,,,7,,,1
1996,1,0,0,3,20,,0,0,2,,,16,6,1,,,7,,,1
1996,1,0,0,3,20,,0,0,2,,,16,6,1,,,7,,,1
1996,1,0,0,3,20,,0,0,2,,,16,6,1,,,7,,,1
1996,1,0,0,3,20,,0,0,2,,,16,6,1,,,7,,,1
1996,1,1,0,3,2,15,0,0,3,,,7,6,0,,,0,,,1
1996,1,0,0,3,19,100,0,0,,,,16,6,0,,,0,,,1
1996,1,0,0,3,3,22,0,0,,,,16,6,2,,,27,,,1
1996,1,1,0,9,3,25,0,0,,,,,13,5,,,5,,,1
1996,1,1,0,2,4,29,0,0,,,,5,5,3,,,2,,,1
1996,4,0,0,9,2,15,0,0,,,,,13,5,,,0,,,1
1996,1,0,0,3,14,74,0,0,,,,16,6,4,,,6,,,1
1996,1,0,0,3,2,19,0,0,,,,16,6,0,,,3,,,1
1996,1,0,0,3,2,19,0,0,,,,16,6,0,,,3,,,1
1996,1,0,0,3,19,99,0,0,,,,16,6,12,,,20,,,1
1996,4,0,0,2,14,84,0,0,,,,5,5,2,,,0,,,1
1996,4,0,0,3,20,,0,0,,,,16,6,1,,,0,,,1
1996,1,0,0,1,2,15,0,0,,,,5,5,1,,,0,,,0
1996,4,0,0,2,14,83,0,0,,,,23,9,2,,,0,,,1
1996,4,0,0,2,14,83,0,0,,,,5,5,4,,,0,,,1
1996,4,0,0,9,14,83,0,0,,,,,13,0,,,3,,,1
1996,4,0,0,9,2,19,0,0,,,,,13,0,,,0,,,1
1996,4,0,0,9,2,19,0,0,,,,,13,0,,,0,,,1
1996,4,0,0,9,2,19,0,0,,,,,13,0,,,0,,,1
1996,4,0,0,3,20,,0,0,,,,16,6,2,,,0,,,1
1996,4,0,0,3,3,25,0,0,,,,8,6,1,,,2,,,1
1996,4,0,0,2,3,,0,0,,,,5,5,4,,,0,,,1
1996,1,1,0,1,14,77,0,0,,,,5,5,8,,,1,,,0
1996,1,0,0,3,3,23,0,0,,,,7,6,0,,,3,,,1
1996,1,0,0,3,1,3,0,0,,,,7,6,0,,,0,,,1
1996,4,0,0,1,2,18,0,0,,,,5,5,10,,,0,,,1
1996,4,0,0,3,3,23,0,0,,,,8,6,2,,,4,,,1
1996,3,0,0,2,14,83,0,0,,,,5,5,3,,,0,,,1
1996,4,0,0,9,2,15,0,0,,,,,13,0,,,1,,,0
1996,1,0,0,2,14,74,0,0,,,,5,5,8,,,4,,,1
1996,4,0,0,3,19,100,0,0,,,,16,6,2,,,6,,,1
1996,4,0,0,1,10,53,0,0,2,,,5,5,1,,,1,,,0
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
1996,3,0,0,2,14,75,0,0,,,,,8,1,,,,,,1
